round,ticker,open_time,brti_60s,yes_est,signal,confidence,reason,result,outcome
1,KXBTC15M-SIM-001,2026-04-27T20:15:00+00:00,94005.0,39.1,HOLD,0.45,bearish_no_momentum_39.1,YES,HOLD
2,KXBTC15M-SIM-002,2026-04-27T20:30:00+00:00,94107.0,37.8,HOLD,0.217,low_conf_0.22,NO,HOLD
3,KXBTC15M-SIM-003,2026-04-27T20:45:00+00:00,94038.0,59.8,HOLD,0.175,low_conf_0.17,YES,HOLD
4,KXBTC15M-SIM-004,2026-04-27T21:00:00+00:00,94280.0,51.2,HOLD,0.4,neutral_51.2,NO,HOLD
5,KXBTC15M-SIM-005,2026-04-27T21:15:00+00:00,93746.0,17.8,HOLD,0.188,high_vol_18.8,YES,HOLD
6,KXBTC15M-SIM-006,2026-04-27T21:30:00+00:00,93875.0,44.1,HOLD,0.4,neutral_44.1,NO,HOLD
7,KXBTC15M-SIM-007,2026-04-27T21:45:00+00:00,93764.0,68.7,HOLD,0.328,low_conf_0.33,YES,HOLD
8,KXBTC15M-SIM-008,2026-04-27T22:00:00+00:00,93836.0,42.4,HOLD,0.4,neutral_42.4,NO,HOLD
9,KXBTC15M-SIM-009,2026-04-27T22:15:00+00:00,93144.0,50.8,HOLD,0.4,neutral_50.8,YES,HOLD
10,KXBTC15M-SIM-010,2026-04-27T22:30:00+00:00,93813.0,11.8,BET_NO,0.703,bearish_11.8_m-0.69,NO,WIN
11,KXBTC15M-SIM-011,2026-04-27T22:45:00+00:00,93697.0,29.9,HOLD,0.187,high_vol_18.7,YES,HOLD
12,KXBTC15M-SIM-012,2026-04-27T23:00:00+00:00,93917.0,63.6,HOLD,0.181,high_vol_18.1,NO,HOLD
13,KXBTC15M-SIM-013,2026-04-27T23:15:00+00:00,93550.0,82.8,HOLD,0.221,high_vol_22.1,NO,HOLD
14,KXBTC15M-SIM-014,2026-04-27T23:30:00+00:00,93085.0,53.9,HOLD,0.4,neutral_53.9,YES,HOLD
15,KXBTC15M-SIM-015,2026-04-27T23:45:00+00:00,93392.0,45.1,HOLD,0.4,neutral_45.1,NO,HOLD
16,KXBTC15M-SIM-016,2026-04-28T00:00:00+00:00,93251.0,57.0,HOLD,0.4,neutral_57.0,NO,HOLD
17,KXBTC15M-SIM-017,2026-04-28T00:15:00+00:00,92903.0,88.2,BET_YES,0.719,bullish_88.2_m+0.47,YES,WIN
18,KXBTC15M-SIM-018,2026-04-28T00:30:00+00:00,93153.0,82.8,HOLD,0.22,high_vol_22.0,NO,HOLD
19,KXBTC15M-SIM-019,2026-04-28T00:45:00+00:00,92959.0,71.2,HOLD,0.375,low_conf_0.38,YES,HOLD
20,KXBTC15M-SIM-020,2026-04-28T01:00:00+00:00,92993.0,44.3,HOLD,0.4,neutral_44.3,YES,HOLD
21,KXBTC15M-SIM-021,2026-04-28T01:15:00+00:00,93104.0,5.0,BET_NO,0.832,bearish_5.0_m-0.22,NO,WIN
22,KXBTC15M-SIM-022,2026-04-28T01:30:00+00:00,92450.0,15.4,HOLD,0.231,high_vol_23.1,YES,HOLD
23,KXBTC15M-SIM-023,2026-04-28T01:45:00+00:00,92585.0,89.9,HOLD,0.45,bullish_no_momentum_89.9,YES,HOLD
24,KXBTC15M-SIM-024,2026-04-28T02:00:00+00:00,92674.0,48.0,HOLD,0.4,neutral_48.0,NO,HOLD
25,KXBTC15M-SIM-025,2026-04-28T02:15:00+00:00,92580.0,66.7,HOLD,0.194,high_vol_19.4,NO,HOLD
26,KXBTC15M-SIM-026,2026-04-28T02:30:00+00:00,92495.0,45.8,HOLD,0.4,neutral_45.8,YES,HOLD
27,KXBTC15M-SIM-027,2026-04-28T02:45:00+00:00,92761.0,33.4,HOLD,0.45,bearish_no_momentum_33.4,YES,HOLD
28,KXBTC15M-SIM-028,2026-04-28T03:00:00+00:00,92973.0,31.4,HOLD,0.33,low_conf_0.33,NO,HOLD
29,KXBTC15M-SIM-029,2026-04-28T03:15:00+00:00,92851.0,49.3,HOLD,0.4,neutral_49.3,NO,HOLD
30,KXBTC15M-SIM-030,2026-04-28T03:30:00+00:00,92409.0,36.0,HOLD,0.245,low_conf_0.24,NO,HOLD
31,KXBTC15M-SIM-031,2026-04-28T03:45:00+00:00,92273.0,79.1,HOLD,0.206,high_vol_20.6,NO,HOLD
32,KXBTC15M-SIM-032,2026-04-28T04:00:00+00:00,91843.0,51.5,HOLD,0.4,neutral_51.5,NO,HOLD
33,KXBTC15M-SIM-033,2026-04-28T04:15:00+00:00,91500.0,53.0,HOLD,0.4,neutral_53.0,YES,HOLD
34,KXBTC15M-SIM-034,2026-04-28T04:30:00+00:00,91526.0,61.7,HOLD,0.206,low_conf_0.21,YES,HOLD
